index,code,longitude,latitude
174,544011193,140.240625,36.097917
175,544011194,140.246875,36.097917
176,544012103,140.253125,36.097917
177,544012104,140.259375,36.097917
178,544012113,140.265625,36.097917
179,544012114,140.271875,36.097917
180,544012123,140.278125,36.097917
181,544012124,140.284375,36.097917
182,544012133,140.290625,36.097917
183,544012134,140.296875,36.097917
184,544012143,140.303125,36.097917
185,544012144,140.309375,36.097917
186,544012153,140.315625,36.097917
187,544012154,140.321875,36.097917
188,544012163,140.328125,36.097917
189,544012164,140.334375,36.097917
190,544012173,140.340625,36.097917
191,544012174,140.346875,36.097917
192,544012183,140.353125,36.097917
193,544012184,140.359375,36.097917
194,544012193,140.365625,36.097917
195,544012194,140.371875,36.097917
196,544013103,140.378125,36.097917
197,544013104,140.384375,36.097917
198,544013113,140.390625,36.097917
199,544013114,140.396875,36.097917
200,543911121,139.153125,36.093750
201,543911122,139.159375,36.093750
202,543911131,139.165625,36.093750
203,543911132,139.171875,36.093750
204,543911141,139.178125,36.093750
205,543911142,139.184375,36.093750
206,543911151,139.190625,36.093750
207,543911152,139.196875,36.093750
208,543911161,139.203125,36.093750
209,543911162,139.209375,36.093750
210,543911171,139.215625,36.093750
211,543911172,139.221875,36.093750
212,543911181,139.228125,36.093750
213,543911182,139.234375,36.093750
214,543911191,139.240625,36.093750
215,543911192,139.246875,36.093750
216,543912101,139.253125,36.093750
217,543912102,139.259375,36.093750
218,543912111,139.265625,36.093750
219,543912112,139.271875,36.093750
220,543912121,139.278125,36.093750
221,543912122,139.284375,36.093750
222,543912131,139.290625,36.093750
223,543912132,139.296875,36.093750
224,543912141,139.303125,36.093750
225,543912142,139.309375,36.093750
226,543912151,139.315625,36.093750
227,543912152,139.321875,36.093750
228,543912161,139.328125,36.093750
229,543912162,139.334375,36.093750
230,543912171,139.340625,36.093750
231,543912172,139.346875,36.093750
232,543912181,139.353125,36.093750
233,543912182,139.359375,36.093750
234,543912191,139.365625,36.093750
235,543912192,139.371875,36.093750
236,543913101,139.378125,36.093750
237,543913102,139.384375,36.093750
238,543913111,139.390625,36.093750
239,543913112,139.396875,36.093750
240,543913121,139.403125,36.093750
241,543913122,139.409375,36.093750
242,543913131,139.415625,36.093750
243,543913132,139.421875,36.093750
244,543913141,139.428125,36.093750
245,543913142,139.434375,36.093750
246,543913151,139.440625,36.093750
247,543913152,139.446875,36.093750
248,543913161,139.453125,36.093750
249,543913162,139.459375,36.093750
250,543913171,139.465625,36.093750
251,543913172,139.471875,36.093750
252,543913181,139.478125,36.093750
